Class Name,Total_Reviews,Average_Rating,Recommendation_Rate,Average_Positive_Feedback,Anomaly_Rate,Contradiction_Rate
Layering,146,4.376712328767123,88.35616438356165,1.3150684931506849,2.73972602739726,2.054794520547945
Jeans,1147,4.360941586748038,88.14298169136879,1.7593722755013077,1.3077593722755012,0.8718395815170008
Lounge,691,4.301013024602026,85.96237337192476,2.321273516642547,1.3024602026049203,0.723589001447178
Jackets,704,4.295454545454546,84.51704545454545,2.8267045454545454,1.4204545454545454,0.7102272727272727
Sleep,228,4.285087719298246,85.52631578947368,1.75,3.9473684210526314,1.7543859649122806
Intimates,154,4.279220779220779,85.71428571428571,0.7792207792207793,1.2987012987012987,0.6493506493506493
Legwear,165,4.278787878787878,86.06060606060606,1.2727272727272727,1.2121212121212122,1.2121212121212122
Pants,1388,4.265850144092219,83.28530259365994,2.3969740634005765,1.8731988472622478,1.585014409221902
Fine gauge,1100,4.260909090909091,83.72727272727273,2.0136363636363637,1.3636363636363635,0.9090909090909091
Shorts,317,4.255520504731861,83.91167192429022,1.6750788643533123,1.2618296529968454,1.2618296529968454
Skirts,945,4.245502645502645,84.55026455026456,2.293121693121693,1.5873015873015872,1.0582010582010581
Outerwear,328,4.198170731707317,81.70731707317073,2.823170731707317,3.6585365853658534,3.048780487804878
Swim,350,4.1971428571428575,80.57142857142857,2.142857142857143,0.8571428571428572,0.8571428571428572
Sweaters,1428,4.179271708683474,80.0420168067227,2.208683473389356,1.9607843137254901,0.9103641456582634
Knits,4843,4.161676646706587,81.76749948379104,2.394796613669213,1.8996489779062562,1.073714639686145
Blouses,3097,4.154020019373587,81.0138844042622,2.725217952857604,2.001937358734259,1.3884404262189216
Dresses,6319,4.150815002373793,80.81974996043678,3.08751384712771,2.4687450545972465,1.6458300363981642
Trend,119,3.8151260504201683,73.94957983193278,3.369747899159664,2.5210084033613445,1.680672268907563
