Clothing ID,Record Count,Frequency Ratio
1078,1024,0.04360044281699736
862,806,0.03431831729541003
1094,756,0.032189389423486335
1081,582,0.02478072042919186
872,545,0.02320531380396832
829,527,0.02243889977007579
1110,480,0.020437707570467513
868,430,0.018308779698543814
895,404,0.01720173720514349
936,358,0.015243123562973686
867,351,0.014945073660904369
850,338,0.014391552414204208
1095,327,0.013923188282380993
863,306,0.01302903857617304
1077,297,0.012645831559226774
1059,294,0.012518095886911352
1086,291,0.01239036021459593
1080,289,0.012305203099718982
860,288,0.012262624542280507
1083,249,0.010602060802180022
861,244,0.010389168014987652
873,238,0.010133696670356808
828,225,0.009580175423656646
1033,220,0.009367282636464276
1092,220,0.009367282636464276
927,214,0.009111811291833433
1056,213,0.009069232734394958
820,211,0.008984075619518011
836,205,0.008728604274887166
1022,205,0.008728604274887166
1072,197,0.008387975815379376
1008,186,0.007919611683556161
1104,185,0.007877033126117688
984,175,0.007451247551732947
831,164,0.006982883419909733
1020,158,0.006727412075278889
833,157,0.006684833517840416
877,154,0.006557097845524993
854,152,0.006471940730648045
834,150,0.006386783615771097
1082,147,0.006259047943455676
864,145,0.006173890828578728
835,141,0.006003576598824832
1099,136,0.005790683811632462
1035,135,0.005748105254193988
865,134,0.005705526696755514
907,130,0.005535212467001618
940,130,0.005535212467001618
1087,129,0.005492633909563144
1025,125,0.005322319679809248
909,122,0.005194584007493826
866,121,0.005152005450055352
975,116,0.004939112662862982
875,115,0.004896534105424508
1068,114,0.004853955547986034
830,112,0.004768798433109086
1037,106,0.004513327088478242
886,106,0.004513327088478242
823,105,0.004470748531039769
1060,103,0.004385591416162821
824,96,0.004087541514093502
825,93,0.003959805841778081
1089,92,0.003917227284339606
903,91,0.0038746487269011327
1066,89,0.0037894916120241847
1009,89,0.0037894916120241847
996,88,0.0037469130545857107
876,88,0.0037469130545857107
1098,86,0.0036617559397087627
1028,83,0.0035340202673933407
941,83,0.0035340202673933407
939,83,0.0035340202673933407
949,79,0.0033637060376394447
1096,78,0.0033211274802009707
964,77,0.0032785489227624967
1047,77,0.0032785489227624967
1030,72,0.0030656561355701267
1084,72,0.0030656561355701267
857,71,0.003023077578131653
945,70,0.002980499020693179
883,70,0.002980499020693179
1075,69,0.002937920463254705
1038,69,0.002937920463254705
881,68,0.002895341905816231
1079,63,0.002682449118623861
933,63,0.002682449118623861
819,61,0.002597292003746913
840,59,0.002512134888869965
1111,58,0.002469556331431491
993,58,0.002469556331431491
1091,58,0.002469556331431491
1100,56,0.002384399216554543
871,54,0.002299242101677595
879,54,0.002299242101677595
815,53,0.002256663544239121
870,53,0.002256663544239121
818,53,0.002256663544239121
844,50,0.002128927871923699
869,50,0.002128927871923699
974,50,0.002128927871923699
839,48,0.002043770757046751
1121,48,0.002043770757046751
878,47,0.002001192199608277
985,47,0.002001192199608277
937,47,0.002001192199608277
1076,46,0.001958613642169803
1070,46,0.001958613642169803
1074,45,0.0019160350847313293
1001,43,0.0018308779698543813
965,43,0.0018308779698543813
1126,42,0.0017882994124159073
1044,42,0.0017882994124159073
1053,41,0.0017457208549774333
880,41,0.0017457208549774333
912,40,0.0017031422975389593
952,39,0.0016605637401004853
838,37,0.0015754066252235373
1051,37,0.0015754066252235373
1052,37,0.0015754066252235373
999,37,0.0015754066252235373
906,37,0.0015754066252235373
822,36,0.0015328280677850633
1103,36,0.0015328280677850633
995,36,0.0015328280677850633
942,36,0.0015328280677850633
169,36,0.0015328280677850633
1024,35,0.0014902495103465896
1116,35,0.0014902495103465896
282,35,0.0014902495103465896
899,33,0.0014050923954696416
1054,33,0.0014050923954696416
1049,32,0.0013625138380311676
986,32,0.0013625138380311676
921,31,0.0013199352805926936
